review_id,text,text_clean,rating,review_date,sentiment,issues
6ed3ead3-8685-4995-a718-fe05818858ee,bagus,bagus,5,2026-04-15,positive,[]
3943bf92-2919-4824-8f7f-a8b5754b1c09,transaksi mudah,transaksi mudah,5,2026-04-15,positive,[]
aae3dd5e-36a0-4fc8-988f-7a34d8d2782b,lelet,lelet,1,2026-04-15,negative,['aplikasi lelet']
eb9df36b-2a33-4543-933a-0333bd96da60,dari Minggu ga bisa kenuka,dari minggu ga bisa kenuka,3,2026-04-15,negative,['aplikasi tidak bisa digunakan selama seminggu']
121a41c9-cc2e-4420-a0f1-d65ea938612d,baik,baik,5,2026-04-15,positive,[]
fad41e8f-94d4-403f-908e-1b2a3571a793,ok,ok,5,2026-04-15,neutral,[]
dbb83e62-47c9-4c78-987c-1d788e5a64c4,sangat bermanfaat,sangat bermanfaat,5,2026-04-15,positive,[]
2261ce7d-4a5c-406c-b4e0-1afff76112a0,layanan qrisnya auto ke CC mengecewakan bgt pdhl sudah pilih sumber dana by rekening tabungan tetep masuk ke CC,layanan qrisnya auto ke cc mengecewakan bgt pdhl sudah pilih sumber dana by rekening tabungan tetep masuk ke cc,1,2026-04-15,negative,['pembayaran QRIS otomatis ke kartu kredit meskipun sudah memilih sumber dana rekening tabungan']
62f86d6b-f57b-4173-a4e4-07126e365ed6,"transfer transaksi gagal tapi saldo udah kepotong, mana itu uang buat bayar kosan, chat customer service gaada tanggapan, malah dibales SM bot itupun ga menjawab","transfer transaksi gagal tapi saldo udah kepotong, mana itu uang buat bayar kosan, chat customer service gaada tanggapan, malah dibales sm bot itupun ga menjawab",1,2026-04-15,negative,"['transaksi transfer gagal tapi saldo terpotong', 'customer service tidak merespon', 'balasan dari bot tidak membantu']"
aa702227-0a05-44d1-b90c-143f5d3d845c,sangat bermanfaat untuk smw,sangat bermanfaat untuk smw,5,2026-04-15,positive,[]
6bd02877-bde3-4c40-b8de-251f930846fd,baik,baik,5,2026-04-15,positive,[]
defb30b5-919e-43cf-85db-fa88f9d84cdb,satset,satset,5,2026-04-15,positive,[]
527320a4-c70e-4bcb-82bd-a3443b8ac9dc,baik sekali tenks,baik sekali tenks,5,2026-04-15,positive,[]
2c29c4c5-5acd-4901-bbbf-0ed3384988ac,kirim,kirim,5,2026-04-15,neutral,[]
52dbbbc2-f3d2-4d62-8d0c-f17c35aa9bd7,"saya enak pake BNI ini tapi potongan tiap bulan nya kok beda yaa, trus ini lagi pas mau login sering keluar sendiri padahal sudah di update, mohon bantuannya ya trimakasih, nanti klo udah ada masukan nya tak tambahi bintang nya","saya enak pake bni ini tapi potongan tiap bulan nya kok beda yaa, trus ini lagi pas mau login sering keluar sendiri padahal sudah di update, mohon bantuannya ya trimakasih, nanti klo udah ada masukan nya tak tambahi bintang nya",4,2026-04-15,negative,"['potongan tiap bulan berbeda', 'sering keluar sendiri saat login']"
c96779b1-007f-4f90-920c-54aa46ec5079,Bermanfaat,bermanfaat,5,2026-04-15,positive,[]
e5612868-d6b9-4319-ba17-0ac8dde539fe,Sangat memuaskan,sangat memuaskan,5,2026-04-15,positive,[]
62ecc5f3-c8b4-4a33-bc02-3a58f540d3ce,"baik, cepat dan lancar","baik, cepat dan lancar",5,2026-04-15,positive,[]
14d06541-3cff-437d-af2f-90900851739b,bagus,bagus,5,2026-04-15,positive,[]
4b00f175-f64e-4d1c-87e1-2f630cb7ab8c,mantap,mantap,5,2026-04-15,positive,[]
64fdd038-d627-4500-b470-11e7efccd8e7,baik,baik,4,2026-04-15,positive,[]
6817ca6d-60e1-4878-a8fa-dcc58af0b4d0,sangat nyaman dan mudah bertransaksi dengan woudr,sangat nyaman dan mudah bertransaksi dengan woudr,5,2026-04-15,positive,[]
b94c5336-367b-4f17-a8ef-5cd6a89e62b4,kalo ktp kurang jelas nya gimana mana cuma ke hapus propinsinya aja susah banget sudah jelas no nik ada notifikasi 6 angka lewat wastapa ada no debit ada jangan bikin susah aja saya itu mau butuh pindah aplikasinya ke hp satunya masa saya harus ke bank untuk urus seperti itu tolong utuk apa onlen kalo caranya ribet seperti ini,kalo ktp kurang jelas nya gimana mana cuma ke hapus propinsinya aja susah banget sudah jelas no nik ada notifikasi 6 angka lewat wastapa ada no debit ada jangan bikin susah aja saya itu mau butuh pindah aplikasinya ke hp satunya masa saya harus ke bank untuk urus seperti itu tolong utuk apa onlen kalo caranya ribet seperti ini,1,2026-04-15,negative,"['KTP kurang jelas', 'Penghapusan propinsi sulit', 'Notifikasi 6 angka lewat WhatsApp bermasalah', 'Proses pindah aplikasi ribet', 'Harus ke bank untuk urusan yang seharusnya online']"
5c808e60-6a16-4f7d-bafa-59ae22ab5f45,mantap,mantap,5,2026-04-15,positive,[]
d417dcf6-1846-4655-8c9a-727126cc20d8,Sering ngelag dan loading di logo jadi ga bisa dipakai buru2,sering ngelag dan loading di logo jadi ga bisa dipakai buru2,2,2026-04-15,negative,"['Sering ngelag', 'Loading lama di logo', 'Aplikasi tidak bisa dipakai']"
39877cb2-c13e-45d5-be93-549f6bb1edb2,sangat bermanfaat,sangat bermanfaat,5,2026-04-15,positive,[]
e849182d-5c74-48d4-8137-3709cb95cb0e,nice,nice,5,2026-04-15,positive,[]
10b6b051-14fc-49ce-94a8-71b54d1f02ab,mantan,mantan,5,2026-04-15,neutral,[]
7c63baf9-7dbd-4db0-9ded-5c014ba40891,lumayan,lumayan,5,2026-04-15,neutral,[]
053efa14-4122-4de9-8a01-53738a4d57aa,goood,goood,5,2026-04-15,positive,[]
34216226-17d0-4f88-b0cd-335db96ec177,sangat baik,sangat baik,5,2026-04-15,positive,[]
6d9db788-b789-4372-9c04-627980537e8f,mudah cepat love sak kebon,mudah cepat love sak kebon,5,2026-04-15,positive,[]
7cf24739-6bb7-4f3a-8d2d-b08dea746eb0,bagus,bagus,5,2026-04-15,positive,[]
f677e616-451e-4243-8ed2-bf449de465be,Arul,arul,5,2026-04-15,neutral,[]
6666b190-0583-412a-855e-7c88362eb844,tidak bisa daftar kartu ATM melalui aplikasi,tidak bisa daftar kartu atm melalui aplikasi,4,2026-04-15,negative,['tidak bisa daftar kartu atm melalui aplikasi']
ecba342e-0936-48ed-a551-04f3696b6d05,mudah dan mantap,mudah dan mantap,5,2026-04-15,positive,[]
66ed4e2f-8591-4b32-820e-20a5bc3dd861,sangat bermanfaat sekali bagi sya.. terimakasih app wondr by BNI,sangat bermanfaat sekali bagi sya.. terimakasih app wondr by bni,5,2026-04-15,positive,[]
b8b7dcd0-cec4-4e3b-9d51-e3b71ff5ecec,kerren,kerren,5,2026-04-15,positive,[]
2ff2391d-9b6b-44d7-abea-a1c65db7be14,"mantap, banyak fitur-fiturbaru","mantap, banyak fitur-fiturbaru",5,2026-04-15,positive,[]
015041f1-bcff-4fcc-b2f6-bf888b561ca1,mantul,mantul,5,2026-04-15,positive,[]
0df2bb3d-0854-4fda-95b4-07d39172c4aa,sukses selalu..,sukses selalu..,5,2026-04-15,positive,[]
19684e87-bc6d-420c-8861-00c0a0cfd60e,"kenapa kalau minta update aplikasinya jadi tidak bisa dibuka, bagi yg hpnya dengan kapasitas memory tidak memenuhi jadi susah menggunakan wondr jika minta update terus dan tidak bisa digunakan jika belum update","kenapa kalau minta update aplikasinya jadi tidak bisa dibuka, bagi yg hpnya dengan kapasitas memory tidak memenuhi jadi susah menggunakan wondr jika minta update terus dan tidak bisa digunakan jika belum update",4,2026-04-15,negative,"['aplikasi tidak bisa dibuka setelah update', 'kapasitas memori hp tidak mencukupi', 'harus update terus agar bisa digunakan']"
9ddddee0-b973-4e0c-a674-b026fb6af001,fiktur sdh ok.hanya 1 hal yg tidak memuaskan.terlalu sering log out sendiri.tlg di perbaiki lgi,fiktur sdh ok.hanya 1 hal yg tidak memuaskan.terlalu sering log out sendiri.tlg di perbaiki lgi,1,2026-04-15,negative,['sering log out sendiri']
0db4f32a-effc-42af-933f-15e8ca395b50,"bagus dapat membantu segala kebutuhan utk transaksi juga transfer uang selain bisa buat menabung,,buat aku yg malas klwr belanja tinggal DO lalu TF selesai","bagus dapat membantu segala kebutuhan utk transaksi juga transfer uang selain bisa buat menabung,,buat aku yg malas klwr belanja tinggal do lalu tf selesai",5,2026-04-15,positive,[]
5db9b601-6261-465d-b0f8-133d499ea3a0,Bukti transaksi sering error tidak muncul,bukti transaksi sering error tidak muncul,1,2026-04-15,negative,['bukti transaksi sering error tidak muncul']
934f086e-688c-4365-8ad8-18da8fe5e1a7,"Ntahlah harus review seperti apa, saya gaptek soalnya, dapet atm KKS liat di yt bisa di loginkan di wondr, eh pas daftar, terus dicek rekeningnya ada 3, pdhl baru ini pake wondr dan itupun buat login KKS. Dan rekening utamanya jadi default ke rekening baru, yang ngeselinnya, kita tidak bisa mengatur rekening mana yang akan dijadikan rek utama utk transaksi 😌","ntahlah harus review seperti apa, saya gaptek soalnya, dapet atm kks liat di yt bisa di loginkan di wondr, eh pas daftar, terus dicek rekeningnya ada 3, pdhl baru ini pake wondr dan itupun buat login kks. dan rekening utamanya jadi default ke rekening baru, yang ngeselinnya, kita tidak bisa mengatur rekening mana yang akan dijadikan rek utama utk transaksi 😌",2,2026-04-15,negative,"['tidak bisa mengatur rekening utama untuk transaksi', 'rekening utama berubah otomatis']"
a2bcef24-8d5a-4d99-8bbd-0b25bff82db0,sangat membantu,sangat membantu,5,2026-04-15,positive,[]
cb1106dc-9203-4588-a7bd-890cb3697fc2,bagus,bagus,4,2026-04-15,positive,[]
e77e8251-cce1-4c27-815e-a7055abc59de,good,good,5,2026-04-15,neutral,[]
57289efe-ab7d-4ee1-b62b-d53e3e15343e,terbaik,terbaik,4,2026-04-15,positive,[]
4229b7a7-4343-4eaa-813a-7e76a8296d7a,aplikasi sering eror dan eror,aplikasi sering eror dan eror,1,2026-04-15,negative,['aplikasi sering eror']
d4d2b22c-36d1-4893-8c8b-f6e0054eb948,semoga kedepan jdi lebih berkembang,semoga kedepan jdi lebih berkembang,5,2026-04-15,neutral,[]
a7210d87-a107-47ec-992d-ab04592f99aa,"pitur di aplikasi lengkap, jelas dan mudah digunakan. transaksi apapun jadi lebih mudah..","pitur di aplikasi lengkap, jelas dan mudah digunakan. transaksi apapun jadi lebih mudah..",5,2026-04-15,positive,[]
21a3ee63-cbbc-48f7-b68c-583a55d94aee,mantul,mantul,5,2026-04-15,positive,[]
f6bf20ad-2a34-4715-9133-5cb0aa26762e,very good,very good,1,2026-04-15,neutral,[]
8fcf2d20-33ba-4d78-b28a-b62aa6a7e385,"Pengalaman buruk, BNI Call sangat lama merespon.","pengalaman buruk, bni call sangat lama merespon.",1,2026-04-15,negative,['respon BNI call sangat lama']
ca4220d7-9220-458c-97ea-05275198edd5,alhamdulillah aplikasinya suda Sayan hapus. cukup pake ATM saja. 1. masuk ke aplikasi lama sekali 2. limit terbatas padahal instalnya sudah lama 3. kalau sudah diinstal ulang harus ke kantor cabang terdekat gak sepraktis BNI mobile yang lama....,alhamdulillah aplikasinya suda sayan hapus. cukup pake atm saja. 1. masuk ke aplikasi lama sekali 2. limit terbatas padahal instalnya sudah lama 3. kalau sudah diinstal ulang harus ke kantor cabang terdekat gak sepraktis bni mobile yang lama....,1,2026-04-15,negative,"['aplikasi lama masuknya', 'limit terbatas', 'harus ke kantor cabang setelah instal ulang, tidak praktis']"
99b3df82-9865-4d13-866c-e15b7bd2211f,sangat 👍👌👌,sangat 👍👌👌,4,2026-04-15,positive,[]
7d82bfeb-7970-444f-aa9d-64f49882d3b8,sangat bagus ada kurang,sangat bagus ada kurang,5,2026-04-15,neutral,['ada kekurangan yang tidak dijelaskan']
311525b2-f892-4b50-8587-8c2bf378dcd8,sangat membantu,sangat membantu,5,2026-04-15,positive,[]
924cc855-e2b1-4033-9de4-2d4d21bb6ad2,siap,siap,5,2026-04-15,neutral,[]
353375e9-b93b-408f-90cd-d10f6749f494,baik,baik,5,2026-04-15,positive,[]
71338f1e-1530-4367-b870-2b0e6b9411a9,sayang gak ada TF gratis ke Bank lain seperti Bank Digital lainya,sayang gak ada tf gratis ke bank lain seperti bank digital lainya,3,2026-04-15,negative,['tidak ada transfer gratis ke bank lain']
7de60e45-1d5e-469c-8f0e-08c920e6f8e1,"ok banget,krn sangat banyak layanan dan mudah","ok banget,krn sangat banyak layanan dan mudah",5,2026-04-15,positive,[]
d5c5b103-6646-44c5-94ba-068e868a5460,bagus,bagus,5,2026-04-15,positive,[]
76cefd11-427f-4c8f-b088-dfa72e802d3c,👍👍👍👍👍👍👍👍👍👍👍,👍👍👍👍👍👍👍👍👍👍👍,5,2026-04-15,positive,[]
3fa9af6f-84e5-4739-9cac-f6c15bc52188,mantul...,mantul...,5,2026-04-15,positive,[]
ba7a703c-de25-4ce6-9afa-31dbe4f72640,wondr by BNI sangat membantu sekali,wondr by bni sangat membantu sekali,5,2026-04-15,positive,[]
a07407ee-cee6-4c79-bca7-03a618e96315,cetak kartu online susah,cetak kartu online susah,3,2026-04-15,negative,['cetak kartu online susah']
444cfa44-ba85-437c-882c-5f228d728e6a,baik,baik,5,2026-04-15,positive,[]
02ad078f-820c-4eb7-9776-60e413322bb8,mantap,mantap,5,2026-04-15,positive,[]
953954b7-c29c-49f6-992c-24683f585519,mantap,mantap,1,2026-04-15,positive,[]
c77d14d8-0a5b-45a2-a90b-deb3adb330a2,Saya masih nasabah BNI.,saya masih nasabah bni.,5,2026-04-15,neutral,[]
6dc02759-702d-4e73-81c3-d17219e020ba,kenapa kalo jam 24 gak bisa transaksi mobile banking,kenapa kalo jam 24 gak bisa transaksi mobile banking,5,2026-04-15,negative,['transaksi tidak bisa dilakukan pada jam 24']
a8daf9ae-c44b-47c6-8fbb-6c8850d4a29d,"apknya kebanyakan upgrade tapi fikturnya gitu"" aja,enakan m banking yang lama","apknya kebanyakan upgrade tapi fikturnya gitu"" aja,enakan m banking yang lama",1,2026-04-15,negative,"['terlalu sering upgrade tanpa penambahan fitur baru', 'fitur kurang berkembang dibanding versi lama']"
0b1331a9-94eb-433e-9b84-1f71bc247017,"transaksi gagal, saldo udah kepotong, mana history transaksi juga ngilang, bugnya ngerugiin banget ini jadi takut nabung di bank, segampang itu duit ilang, mana ngumpulinnya susah","transaksi gagal, saldo udah kepotong, mana history transaksi juga ngilang, bugnya ngerugiin banget ini jadi takut nabung di bank, segampang itu duit ilang, mana ngumpulinnya susah",1,2026-04-15,negative,"['transaksi gagal', 'saldo terpotong tapi transaksi tidak tercatat', 'history transaksi hilang', 'bug yang merugikan pengguna']"
b01a4803-a43a-492a-bc44-9c7271c7e84a,APK MNYT,apk mnyt,1,2026-04-15,neutral,[]
d9c40965-78d2-4bc8-a7af-8af553649e90,sangat puas,sangat puas,5,2026-04-14,positive,[]
8f9d8a90-f37f-4069-b63c-75b2a7b4f5e0,terbaik,terbaik,5,2026-04-14,positive,[]
5ebbe035-5801-40c7-8cde-688ae63fc727,sangat baik,sangat baik,5,2026-04-14,positive,[]
3d389eb2-6c43-4128-98ff-c127ce4c3f75,mudah digunakan,mudah digunakan,5,2026-04-14,positive,[]
7995bd18-eb71-4ffd-847d-8241a9245515,"saya merasa TDK puas akan pelayanannya, saya transfer keterangannya gagal tp saldo saya gak ada, saya komplen 2 hari gak ada respon","saya merasa tdk puas akan pelayanannya, saya transfer keterangannya gagal tp saldo saya gak ada, saya komplen 2 hari gak ada respon",1,2026-04-14,negative,"['transfer keterangan gagal', 'saldo hilang setelah transfer', 'komplain tidak ada respon selama 2 hari']"
